CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,EngagementProfile,BalanceGroup,SalaryGroup,SalaryBalanceRatio,RelationshipStrengthIndex,StickyProfile
15634602,Hargrave,619,France,Female,42,2,0.0,1,1,1,101348.88,1,Active Low-Product,Zero Balance,High,101348.88,51.25,Sticky Active
15647311,Hill,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,Active Low-Product,High,High,1.3428482382411597,37.09031478677259,High Churn Risk
15619304,Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,Inactive Premium,Very High,High,0.7135806435853786,60.11357175935456,At-Risk Premium
15701354,Boni,699,France,Female,39,1,0.0,2,0,0,93826.63,0,Inactive Disengaged,Zero Balance,Medium,93826.63,15.0,High Churn Risk
15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,Active Low-Product,Very High,Medium,0.6300928470322557,56.252462155052676,Sticky Active
15574012,Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,Inactive Disengaged,High,Very High,1.3164640384511586,52.033943642217444,High Churn Risk
15592531,Bartlett,822,France,Male,50,7,0.0,2,1,1,10062.8,0,Active Engaged (Multi-Product),Zero Balance,Low,10062.8,70.0,Sticky Elite
15656148,Obinna,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,Inactive Disengaged,High,High,1.0373683133627831,54.585397202505604,High Churn Risk
15792365,He,501,France,Male,44,4,142051.07,2,0,1,74940.5,0,Active Engaged (Multi-Product),Very High,Medium,0.5275565502142981,53.161703921301275,Sticky Multi-Product
15592389,H?,684,France,Male,27,2,134603.88,1,1,1,71725.73,0,Active Low-Product,Very High,Medium,0.5328612900215801,56.61488261030604,Sticky Active
15767821,Bearce,528,France,Male,31,6,102016.72,2,0,0,80181.12,0,Inactive Disengaged,High,Medium,0.7859528717167958,31.566062041365083,High Churn Risk
15737173,Andrews,497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,Inactive Disengaged,Zero Balance,Medium,76390.01,35.0,High Churn Risk
15632264,Kay,476,France,Female,34,10,0.0,2,1,0,26260.98,0,Inactive Disengaged,Zero Balance,Low,26260.98,52.5,High Churn Risk
15691483,Chin,549,France,Female,25,5,0.0,2,0,0,190857.79,0,Inactive Disengaged,Zero Balance,Very High,190857.79,25.0,High Churn Risk
15600882,Scott,635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,Active Engaged (Multi-Product),Zero Balance,Medium,65951.65,70.0,Sticky Elite
15643966,Goforth,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,Active Engaged (Multi-Product),Very High,Medium,0.44943111669979846,50.70468312453076,Sticky Multi-Product
15737452,Romeo,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,Inactive Premium,Very High,Low,0.038442841943991383,29.035129113577547,At-Risk Premium
15788218,Henderson,549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,Active Engaged (Multi-Product),Zero Balance,Low,14406.41,75.0,Sticky Elite
15661507,Muldrow,587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,Inactive Disengaged,Zero Balance,Very High,158684.81,21.25,High Churn Risk
15568982,Hao,726,France,Female,24,6,0.0,2,1,1,54724.03,0,Active Engaged (Multi-Product),Zero Balance,Medium,54724.03,67.5,Sticky Elite
15577657,McDonald,732,France,Male,41,8,0.0,2,1,1,170886.17,0,Active Engaged (Multi-Product),Zero Balance,Very High,170886.17,72.5,Sticky Elite
15597945,Dellucci,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,Inactive Disengaged,Zero Balance,High,138555.46,47.5,High Churn Risk
15699309,Gerasimov,510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,Inactive Disengaged,Zero Balance,High,118913.53,31.25,High Churn Risk
15725737,Mosman,669,France,Male,46,3,0.0,2,0,1,8487.75,0,Active Engaged (Multi-Product),Zero Balance,Low,8487.75,45.0,Sticky Multi-Product
15625047,Yen,846,France,Female,38,5,0.0,1,1,1,187616.16,0,Active Low-Product,Zero Balance,Very High,187616.16,58.75,Sticky Active
15738191,Maclean,577,France,Male,25,3,0.0,2,0,1,124508.29,0,Active Engaged (Multi-Product),Zero Balance,High,124508.29,45.0,Sticky Multi-Product
15736816,Young,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,Active Low-Product,Very High,Very High,1.2428455339935258,56.703036330408096,Sticky Active
15700772,Nebechi,571,France,Male,44,9,0.0,2,0,0,38433.35,0,Inactive Disengaged,Zero Balance,Low,38433.35,35.0,High Churn Risk
15728693,McWilliams,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,Active Low-Product,Very High,Medium,0.7087875855772069,59.38373878214856,Sticky Active
15656300,Lucciano,411,France,Male,29,0,59697.17,2,1,1,53483.21,0,Active Engaged (Multi-Product),High,Medium,0.8958936262200332,54.879339356469394,Sticky Multi-Product
15589475,Azikiwe,591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,Inactive Disengaged,Zero Balance,High,140469.38,41.25,High Churn Risk
15706552,Odinakachukwu,533,France,Male,36,7,85311.7,1,0,1,156731.91,0,Active Low-Product,High,Very High,1.8371462865435042,52.15025306689262,Sticky Active
15750181,Sanderson,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,Inactive Disengaged,High,Medium,0.74376693365775,39.388735681487255,High Churn Risk
15659428,Maggard,520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,Active Engaged (Multi-Product),Zero Balance,Low,34410.55,67.5,Sticky Elite
15732963,Clements,722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,Active Engaged (Multi-Product),Zero Balance,High,142033.07,75.0,Sticky Elite
15794171,Lombardo,475,France,Female,45,0,134264.04,1,1,0,27822.99,1,Inactive Premium,Very High,Low,0.2072243824602443,26.601337668612782,At-Risk Premium
15788448,Watson,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,Active Low-Product,Very High,High,0.7852526789150828,44.539610833625716,High Churn Risk
15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,Active Low-Product,High,Medium,1.286139313595368,51.800983767951365,Sticky Active
15717426,Armstrong,850,France,Male,36,7,0.0,1,1,1,40812.9,0,Active Low-Product,Zero Balance,Low,40812.9,63.75,Sticky Active
15585768,Cameron,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,Active Engaged (Multi-Product),High,Very High,2.5312412935917425,55.303906558236456,Sticky Multi-Product
15619360,Hsiao,472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,Inactive Disengaged,Zero Balance,Medium,70154.22,31.25,High Churn Risk
15738148,Clarke,465,France,Female,51,8,122522.32,1,0,0,181297.65,1,Inactive Disengaged,High,Very High,1.4796991299288984,31.13335004861934,High Churn Risk
15687946,Osborne,556,France,Female,61,2,117419.35,1,1,1,94153.83,0,Active Low-Product,High,Medium,0.8018527452864856,55.9299618920973,Sticky Active
15755196,Lavine,834,France,Female,49,2,131394.56,1,0,0,194365.76,1,Inactive Premium,Very High,Very High,1.4792414599093,16.486969320890406,At-Risk Premium
15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,Active Low-Product,Very High,Very High,1.0154315875030488,64.96491817653933,Sticky Active
